Column,name,wiki_name,birth_date,link,born_place,lat,long,Born in,kneset,Knesset_number,education,occupations,army_service,language
10,אביזוהר מאיר,,27/09/1923,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=235,ירושלים-ישראל,31.78199,35.21961,ישראל,חבר הכנסת ה-7,7,['- למד בבית-הספר התיכון בבית-הכרם בירושלים.  - למד באוניברסיטה העברית.  - למדב-London School of Econonmics.  - בעל תואר דוקטור.'],['מרצה'],,
11,אביטל שמואל,,22/04/1951,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=130,קזבלנקה-מרוקו,33.58831,-7.61138,מרוקו,חבר הכנסת ה-13,13,['אוניברסיטת בן-גוריון'],['חקלאי'],סגן אלוף (במילואים) בחיל השריון,"שפות
אנגלית, ערבית"
12,אביטל קולט,,01/05/1939,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=704,רומניה,46,25,רומניה,"חברת הכנסת ה-15, 16, 17","15 ,16 ,17",['- BA במדעי המדינה  - MA במנהל ציבורי'],['דיפלומט'],טוראית,"שפות
אנגלית, צרפתית, גרמנית, פורטוגזית, איטלקית, רומנית"
13,אביטל דורון,,"י""ג בשבט תשי""ט, 22/01/1959",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=851,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-18,18,"['- תואר ראשון במתמטיקה ובמדעי המחשב, אוניברסיטת תל-אביב  - תואר שני בהצטיינות יתרה בהיסטוריה ובפילוסופיה של המדעים, אוניברסיטת תל-אביב  - תואר דוקטור בתחום הלוגיקה והפילוסופיה, אוניברסיטת קולומביה בניו-יורק']",,"- שירות בצנחנים, סיירת מטכ”ל
- מפקד סיירת מטכ”ל בדרגת סגן אלוף",
14,אבן עוזי,,18/10/1940,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=719,חיפה-ישראל,32.81841,34.9885,ישראל,חבר הכנסת ה-15,15,"['- התיכון הריאלי בחיפה  - B.A בכימיה, הטכניון  - M.A בכימיה, הטכניון  PhD בכימיה, אוניברסיטת תל-אביב']",['פרופסור לכימיה'],סגן אלוף בקריה למחקר גרעיני,"שפות
אנגלית"
15,אבן אבא,,02/02/1915,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=236,קייפטאון-דרום-אפריקה,-33.92584,18.42322,אפריקה,"חבר הכנסת ה-4, 5, 6, 7, 8, 9, 10, 11","4 ,5 ,6 ,7 ,8 ,9 ,10 ,11","['- למד בבית-הספר סנט-אולאף, לונדון.  - למד בקווינס קולג`, קמבריג`.']",,,
16,אבניאל בנימין,,01/11/1906,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=237,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-2, 3, 4, 5, 6","2 ,3 ,4 ,5 ,6",['- לימודים ב”חדר”  - לימודים בבית-המדרש למורים בירושלים  - לימודי חינוך ומדעי החברה באוניברסיטת בריסל  - בעל תואר דוקטור למדעי החברה והכלכלה'],,,
17,אבנרי אורי,,10/09/1923,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=238,בקום-גרמניה,51.5,10.5,גרמניה,"חבר הכנסת ה-6, 7, 9","6 ,7 ,9",['למד בבית-הספר היסודי ע”ש אחד העם בתל-אביב.'],,,
18,אבסדזה נינו,,"י' בניסן תשכ""ה, 12/04/1965",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=850,ברית-המועצות,,,ברית המועצות,חברת הכנסת ה-18,18,['- תואר ראשון בספרות ובלשנות רוסית  - תואר שני בספרות ובלשנות רוסית'],['עיתונאית'],,"עברית, רוסית, צרפתית, גרוזינית"
19,אברהם בלילא רוחמה,,"ט""ו בשבט תשכ""ד, 29/01/1964",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=724,ראשון-לציון-ישראל,31.97102,34.78939,ישראל,"חברת הכנסת ה-16, 17, 18","16 ,17 ,18","['B.A במדעי המדינה, אוניברסיטת בר-אילן']",,רב”ט,"אנגלית, לדינו"
20,אבריאל אהוד,,01/01/1917,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=239,וינה-אוסטריה,48.1221,16.55751,אוסטריה,חבר הכנסת ה-3,3,['למד בגימנסיה בווינה'],,,
21,אברמוב שניאור זלמן,,06/05/1908,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=240,מינסק-רוסיה-הלבנה,53,28,בלארוס,"חבר הכנסת ה-4, 5, 6, 7, 8","4 ,5 ,6 ,7 ,8","['- לימודים בגימנסיה ”הרצליה”  - לימודים ב-Western Reserve University בקליבלנד, ארה”ב  - ד”ר למשפטים']",,,
22,אברמוביץ יהודה מאיר,,01/01/1915,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=241,לודז`-פולין,52,20,פולין,"חבר הכנסת ה-7, 8, 9","7 ,8 ,9",['- למד ב”ישיבת חכמי לובלין” בלובלין.  - מוסמך לרבנות.'],,,
23,אגבאריה עפו,,13/05/1949,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=842,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-18, 19","18 ,19","['דוקטור לרפואה, לנינגרד, ברית-המועצות']","['רופא, כירורג']",,"עברית, רוסית, ערבית"
24,א-ד`אהר אחמד,,01/01/1906,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=129,נצרת-ישראל,32.70056,35.29722,ישראל,"חבר הכנסת ה-4, 5","4 ,5",,,,
25,אדטו רחל,,,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=820,חיפה-ישראל,32.81841,34.9885,ישראל,חברת הכנסת ה-18,18,"['- ד”ר לרפואה, בית-הספר לרפואה של הדסה והאוניברסיטה העברית בירושלים  - תואר מוסמך במינהל עסקים MBA, בית-הספר למינהל עסקים, האוניברסיטה העברית בירושלים  - בוגרת הפקולטה למשפטים  - עורכת-דין, חברת לשכת עורכי-הדין משנת 2008']",['רופאה מומחית בגניקולוגיה ומיילדות ועורכת-דין'],הדרכה בבסיס טירונות,"שפות
עברית, אנגלית"
26,אדלשטיין יולי יואל,Yuli Edelstein,"י""ט באב תשי""ח, 05/08/1958",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1,אוקראינה,49,32,אוקראינה,"18,17,21,16,15,20,19,23,14,22-חבר כנסת ה","18,17,21,16,15,20,19,23,14,22",['בוגר ”עמיתי ירושלים” חינוך יהודי'],['מקצוע\nמחנך'],"שירות צבאי
רב”ט שלב ב'",
27,אדמסו אללי,,27/01/1962,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=856,אתיופיה,9,39.5,אתיופיה,חבר הכנסת ה-18,18,,,,
28,אדרי רפאל,,10/09/1937,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=2,קזבלנקה-מרוקו,33.58831,-7.61138,מרוקו,"חבר הכנסת ה-10, 11, 12, 13, 14","10 ,11 ,12 ,13 ,14",['בוגר בית-הספר המרכזי למינהל בירושלים'],['מנהל חברות'],שירת בצה”ל,"שפות
ערבית, ספרדית, צרפתית"
29,אדרי יעקב,,"ט""ז בכסלו תשי""א, 25/11/1950",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=728,מרוקו,32,-6,מרוקו,"חבר הכנסת ה-16, 17, 18","16 ,17 ,18","['- תואר ראשון במדעי המדינה, אוניברסיטת חיפה  - תואר שני במינהל ציבורי, אוניברסיטת חיפה']",,שירות של שלוש שנים בחיל הים,"אנגלית, צרפתית"
30,אדרי ליאור,,"ט""ז בשבט תשל""ט, 13/08/1979",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=907,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-19,19,,,סרן,
31,אהרונוביץ יצחק,,"ט' באלול תש""י, 22/08/1950",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=790,ירושלים-ישראל,31.78199,35.21961,ישראל,"חבר הכנסת ה-17, 18, 19","17 ,18 ,19","['תואר ראשון בהיסטוריה כללית, אוניברסיטת חיפה']",['משטרה'],סגן-אלוף,"שפות
אנגלית"
32,אוזן אהרן,,01/11/1924,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=242,מוקנין-תוניסיה,34,9,תוניסיה,"חבר הכנסת ה-6, 10","6 ,10",['- לימודים בבית-ספר עממי במוקנין  - לימודים בקולג` בעיר סוס'],,,
33,אוחיון שמעון,,"כ' בסיוון תש""ה, 01/01/1945",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=859,מרקש-מרוקו,31.63416,-7.99994,מרוקו,חבר הכנסת ה-19,19,,,סרן,
34,אוחנה אמיר,Amir Ohana,"י""ג באדר ב' תשל""ו, 15/03/1976",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=953,באר-שבע-ישראל,31.25181,34.7913,ישראל,"20 ,21 ,22 ,23-חבר כנסת ה","20 ,21 ,22 ,23",['תואר ראשון במשפטים'],,"- רס”ן במילואים
- מפקד מעבר קרני
- קצין חקירות במצ”ח
- מפקד בסיס חוקרי תאונות דרכים
- מפקד בסיס
- בוגר שירות הביטחון הכללי","שפות
אנגלית"
35,אולמרט אהוד,,"כ""ג בתשרי תש""ו, 30/09/1945",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=3,נחלת-ז`בוטינסקי-ליד-בנימינה-ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-8, 9, 10, 11, 12, 13, 14, 16, 17","8 ,9 ,10 ,11 ,12 ,13 ,14 ,16 ,17","['בוגר האוניברסיטה העברית בלימודי פסיכולוגיה, פילוסופיה ומשפטים']",['עורך-דין'],"- בחטיבת גולני
- כתב צבאי ב”במחנה”","שפות
אנגלית"
36,אולמרט מרדכי,,16/01/1908,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=243,בוגורוסלן-פלך-סאמרה-רוסיה,60,100,רוסיה,"חבר הכנסת ה-3, 4","3 ,4",['למד בבית-ספר תיכון בעיר ציציקה ובטכניון בחארבין.'],,,
37,אונא משה,,22/11/1902,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=245,מנהיים-גרמניה,49.4891,8.46694,גרמניה,"חבר הכנסת ה-1, 2, 3, 4, 5, 6","1 ,2 ,3 ,4 ,5 ,6","['- למד בגימנסיה במנהיים, בבית-ספר גבוה לחקלאות בברלין ובבית-מדרש לרבנים בברלין.  - אגרונום מדופלם.']",,,
38,אור אורי,,22/04/1939,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=4,כפר-מעש-פתח-תקווה-ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-13, 14","13 ,14",['תואר ראשון באוניברסיטת תל-אביב'],['צה”ל'],"- שירת בצה”ל במשך כשלושים שנה
- אלוף פיקוד הצפון, 1983–1986
- אלוף פיקוד המרכז, 1981–1983","שפות
אנגלית"
39,אורבך אורי,,"כ""ט באדר תש""כ, 28/03/1960",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=845,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-18, 19","18 ,19",['- תיכונית  - ישיבת הסדר  - מכון למורים'],['עיתונאי'],"- סמ”ר, טנקיסט, חיל השריון
- ישיבת הסדר
- חייל מילואים בשריון",
40,אורון חיים,,"ט""ז באדר ב' ת""ש, 26/03/1940",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=5,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-12, 13, 14, 15, 16, 17, 18","12 ,13 ,14 ,15 ,16 ,17 ,18",['תיכון חדש תל-אביב'],,בנח”ל מוצנח,אנגלית
41,אורי יעקב,,03/03/1888,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=246,פרוחורבקה-(פלך-פולטבה)-רוסיה,60,100,רוסיה,חבר הכנסת ה-2,2,['- לימודים בישיבה בחרסון  - לימודים אקסטרניים לבחינות בגרות'],,,
42,אורלב זבולון,,"ד' בכסלו תש""ו, 09/11/1945",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=194,רחובות-ישראל,31.89421,34.81199,ישראל,"חבר הכנסת ה-15, 16, 17, 18","15 ,16 ,17 ,18","['- ישיבה תיכונית, בני-עקיבא, נחלים  - לימודים באוניברסיטה העברית בירושלים בפקולטה למדעי הרוח והחברה  - בוגר המכון התורני הפדגוגי ”מכללת מורשת יעקב”, רחובות']",['מחנך'],"רס”ל, בעל עיטור המופת על אומץ לב ותושייה במלחמת יום הכיפורים","שפות
אנגלית"
43,אורן מיכאל,,20/05/1955,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=910,ארצות-הברית,-14.60485,-57.65625,ארצות הברית,חבר הכנסת ה-20,20,"['- PHD דוקטור להיסטוריה והמזרח התיכון, אוניברסיטת פרינסטון ארה”ב  - MA תואר שני בהיסטוריה והמזרח התיכון, אוניברסיטת פרינסטון ארה”ב  - MA תואר שני בלימודי המזרח התיכון, אוניברסיטת קולומביה ארה”ב  - BA תואר ראשון בהיסטוריה והמזרח התיכון, אוניברסיטת קולומביה ארה”ב']","['מרצה וחוקר באקדמיה, סופר']","- לוחם בצנחנים
- רב-סרן במילואים
- שירת כקצין קשר של ישראל עם ארצות-הברית
","שפות
אנגלית, ערבית"
44,אושעיה אפי,,02/06/1956,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=6,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-14, 15, 16","14 ,15 ,16",['תואר ראשון במינהל עסקים'],['יועץ אסטרטגי לתאגידים'],רס”ר בחיל האוויר,"שפות
אנגלית"
45,אזברגה ג'מעה,,15/08/1956,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=958,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-20,20,,,,
46,אזולאי דוד,,01/01/1954,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=7,מקנס-מרוקו,33.89352,-5.54727,מרוקו,"חבר הכנסת ה-14, 15, 16, 17, 18, 19, 20","14 ,15 ,16 ,17 ,18 ,19 ,20",['- בוגר ישיבה תיכונית  - בוגר סמינר למורים (ממ”ס)  קורסים והכשרות:  - סיום קורס ואישור השכלה תורנית גבוהה  - קורס לנושאי משרות בחברות ממשלתיות'],"['מורה, מחנך']","חובש קרבי בצה""ל",
47,אזולאי ינון,Yinon Azulai,"ט""ו בתמוז תשל""ט, 10/07/1979",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=970,ישראל,31.5,34.75,ישראל,"20,21,23,22-חבר כנסת ה","20,21,23,22",,,,
48,א-זועבי סיף א-דין,,01/01/1913,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=251,נצרת-ישראל,32.70056,35.29722,ישראל,"חבר הכנסת ה-1, 2, 3, 6, 7, 8, 9","1 ,2 ,3 ,6 ,7 ,8 ,9",['השכלה תיכונית'],,,
49,א-זועבי עבד אל-עזיז,,04/02/1926,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=404,נצרת-ישראל,32.70056,35.29722,ישראל,"חבר הכנסת ה-6, 7, 8","6 ,7 ,8",['למד בבית-ספר תיכון בנצרת ובקולג` הערבי בירושלים.'],,,
50,אזניה ברוך,,19/09/1905,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=247,פינסק-רוסיה,60,100,רוסיה,"חבר הכנסת ה-1, 2, 3, 4, 5, 6","1 ,2 ,3 ,4 ,5 ,6",['- לימודים ב”חדר”  - לימודים בגימנסיה בדנציג  - לימודי משפטים באוניברסיטת קניגסברג'],,,
51,אחימאיר יוסף,,19/05/1943,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=131,ירושלים-ישראל,31.78199,35.21961,ישראל,חבר הכנסת ה-13,13,['תואר ראשון מאוניברסיטת תל-אביב'],"['עיתונאי, עורך, יועץ תקשורת']",שירות חובה בשנים 1961–1965,"שפות
אנגלית"
52,אטיאס אריאל,,"ט""ו בחשוון תשל""א, 13/11/1970",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=791,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-17, 18, 19","17 ,18 ,19",,,,
53,אידלסון בבה,,14/10/1885,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=248,דניפרופטרובסק-(יקטרינוסלב)-אוקראינה,49,32,אוקראינה,"חברת הכנסת ה-1, 2, 3, 4, 5","1 ,2 ,3 ,4 ,5",['- לימודים בגימנסיה בדניפרופטרובסק  - לימודי משפטים וכלכלה באוניברסיטת קרקוב'],,,
54,אייכלר ישראל,Yisrael Eichler,"ד' בניסן תשט""ו, 27/03/1955",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=754,ירושלים-ישראל,31.78199,35.21961,ישראל,"18,21,16,20,19,23,16,22-חבר כנסת ה","18,21,16,20,19,23,16,22",['- בוגר מוסדות בעלזא  - בוגר כולל להוראה ”מחזיקי הדת”'],['מקצוע\nסופר ועיתונאי'],,
55,איכילוב עזרא,,10/06/1907,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=249,פתח-תקווה-ישראל,32.08707,34.88747,ישראל,"חבר הכנסת ה-2, 3, 4","2 ,3 ,4",,,,
56,אילון עמיחי,,27/06/1945,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=792,טבריה-ישראל,32.79221,35.53124,ישראל,חבר הכנסת ה-17,17,"['- תואר ראשון בכלכלה ומדעי המדינה, אוניברסיטת בר-אילן, 1980  - תואר שני במינהל ציבורי, אוניברסיטת הרווארד, 1992']",,מפקד חיל-הים בשנים 1992–1996,"אנגלית, ספרדית"
57,אילון דניאל,,"ב' בטבת תשט""ז, 17/12/1955",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=833,ישראל,31.5,34.75,ישראל,חבר הכנסת ה-18,18,['- תואר ראשון בכלכלה  - תואר שני במינהל עסקים'],['כלכלן'],"שריון, סרן במילואים","שפות
אנגלית, ספרדית"
58,אילטוב רוברט,,12/11/1971,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=793,אנדיז`אן-ברית-המועצות,,,ברית המועצות,"חבר הכנסת ה-17, 18, 19, 20","17 ,18 ,19 ,20","['- הנדסאי תעשייה וניהול, אוניברסיטת תל-אביב  - לימודי תעודה בנושא שלטון מקומי, אוניברסיטת בר-אילן  - תואר ראשון במינהל עסקים, המרכז האקדמי פרס']",,סמל במיל`,"אנגלית, רוסית"
59,אילן טובה,,02/06/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=761,אוסטריה,47.33333,13.33333,אוסטריה,חברת הכנסת ה-16,16,,,,
60,אילנית פייגה,,07/02/1909,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=250,בראנסק-(פלך-ביאליסטוק)-פולין,52,20,פולין,חברת הכנסת ה-1,1,['למדה בגימנסיה הרוסית בעיר סומי ובגימנסיה בגרודנו.'],,,
61,איפראימוב מרק,,"ג' באדר תשמ""א, 07/02/1981",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=1028,נלצ'יק-רוסיה,60,100,רוסיה,חבר הכנסת ה-22,22,"['- תואר ראשון במדעי ההתנהגות, אוניברסיטת בן-גוריון  - תואר שני בסוציולוגיה ארגונית, אוניברסיטת בן-גוריון']",,רב סמל,"עברית, אנגלית, רוסית"
62,איציק דליה,,"א' בחשוון תשי""ג, 20/10/1952",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=8,ירושלים-ישראל,31.78199,35.21961,ישראל,"חברת הכנסת ה-13, 14, 15, 16, 17, 18","13 ,14 ,15 ,16 ,17 ,18","['- תעודת הוראה, סמינר אפרתה  - 1980 – תואר ראשון בספרות והיסטוריה, האוניברסיטה העברית  - 1999 – תואר ראשון במשפטים, המרכז הבינתחומי הרצליה']",['הוראה'],,אנגלית
63,איתם אפי,,"ג' באב תשי""ב, 25/06/1952",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=715,ישראל,31.5,34.75,ישראל,"חבר הכנסת ה-16, 17","16 ,17",['- תואר ראשון  - לימודים לתואר שני באוניברסיטת חיפה'],,תת-אלוף,אנגלית
64,איתן מיכאל,,"י""א באדר תש""ד, 06/03/1944",https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=9,תל-אביב-ישראל,32.08088,34.78057,ישראל,"חבר הכנסת ה-11, 12, 13, 14, 15, 16, 17, 18","11 ,12 ,13 ,14 ,15 ,16 ,17 ,18","['הפקולטה למשפטים, אוניברסיטת תל-אביב']",,"- מש”ק בגדוד חי”ר
- סמ”ר","שפות
אנגלית"
65,איתן רפאל,,11/01/1929,https://main.knesset.gov.il/mk/Pages/MKPersonalDetails.aspx?MKID=10,תל-עדשים-ישראל,32.65627,35.30216,ישראל,"חבר הכנסת ה-11, 12, 13, 14","11 ,12 ,13 ,14",['- לימודי מזרחנות באוניברסיטת תל-אביב  - לימודים במכללה לביטחון לאומי'],"['חקלאי, נגר, טייס']","- בשנת 1944 התגייס לפלמ”ח.
- במלחמת העצמאות שירת בחטיבת ”הראל” כסמל מחלקה, השתתף בקרבות לשחרור ירושלים ונפצע בקרב על מנזר סן-סימון.
- בתום מלחמת העצמאות שימש סגן מפקד פלוגה, אף שלא עבר קורס קצינים. לאחר המלחמה שב לתל-עדשים.
- בשנת 1951 חזר לצה”ל והחל לשמש קצין המבצעים של חטיבה 9. לאחר מכן התמנה למפקד פלוגת המילואים הראשונה של הצנחנים.
- השתתף ברוב פעולות התגמול שיזם צה”ל בשנות ה-50. באוקטובר 1955 השתתף עם לוחמיו בפשיטה על משטרת כונתילה שבסיני. בהסתערותו בראש הלוחמים דרך מצוק תלול חיסל עמדת ירי שבלמה את התקדמות הכוח. על פעולה זו זכה בעיטור העוז של צה”ל.
- בדצמבר 1955 נפצע בפעולת כינרת נגד הסורים.
- באוקטובר 1956, במבצע ”קדש”, פיקד על גדוד 890 של הצנחנים. צניחת הגדוד שבפיקודו במעבר המיתלה שבחצי האי סיני היתה הצניחה הקרבית היחידה בתולדות צה”ל.
- בשנת 1964 נתמנה למפקד חטיבת הצנחנים, ובשנת 1967, במלחמת ששת הימים, השתתף בקרבות באזור עזה ונפצע פציעה קשה בראשו.
- בשנת 1968 פיקד על כוח הקומנדו הישראלי שפשט על שדה התעופה של ביירות.
- בשנת 1969, בתחילת מלחמת ההתשה, מונה לקצין צנחנים וחיל-רגלים ראשי.
- בשנת 1973, במלחמת יום הכיפורים, היה מפקד האוגדה שלחמה בחזית הסורית. אוגדה זו הביאה לבלימת הכוח הסורי וכבשה מובלעת באזור.
- בתום המלחמה הועלה לדרגת אלוף. באפריל 1974 נתמנה לאלוף פיקד הצפון, ולאחר מכן לראש אגף המטה (אג”ם).
- בשנים 1978–1983 כיהן כרמטכ”ל ה-11 של מדינת ישראל. עם מינויו לתפקיד נקט שורת צעדים שנועדו להגביר את המשמעת בצה”ל. בד בבד הרחיב את אחריות הצבא כלפי אוכלוסיות חלשות והקים מפקדה לטיפול בחיילים עם נתונים אישיים נמוכים (”נערי רפול”).
- כרמטכ”ל היה אחראי למבצע ”שלום הגליל”.","שפות
אנגלית"
