Column,name,position,govermmrnt number,educaction,occupations,army_service,party
20,בן-גוריון דוד,שר הביטחון,2,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
21,שפירא חיים משה,שר הבריאות,2,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
22,מימון יהודה לייב,שר הדתות,2,"['- למד בישיבות בליטא.  - בשנים 1900–1905, לאחר שקיבל סמיכות לרב, שימש כ”מגיד” במארקולשטי.  - בשנים 1905–1913 היה רב באונגני (בסרביה).']",,,חזית דתית מאוחדת
23,שרת משה,שר החוץ,2,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
24,רמז דוד,שר החינוך והתרבות,2,"['- למד ב""חדר"".  - למד בגימנסיה בעיר ילץ.  - למד בפקולטה למשפטים בקושטא.  - עבד בהוראה.']",,,מפא”י
25,לבון פנחס,שר החקלאות,2,['- לימודים ב”חדר”  - לימודים בגימנסיה פולנית בטרנופול  - לימודי משפטים באוניברסיטת לבוב'],,,מפא”י
26,יעקב גרי,שר המסחר והתעשיה,2,,,,
27,שטרית בכור שלום,שר המשטרה,2,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,ספרדים ועדות מזרח
28,רוזן פנחס,שר המשפטים,2,"['- למד משפטים באוניברסיטאות פרייבורג וברלין. - הוסמך לעורך דין ( 1908).  - בעל תואר ד""ר למשפטים (1910)']",,,מפלגה פרוגרסיבית
29,לוין יצחק מאיר,שר הסעד,2,['- למד בישיבות.  - הוסמך לרבנות.'],,,חזית דתית מאוחדת
30,מאיר גולדה,שרת העבודה והביטוח העממי,2,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
31,שפירא חיים משה,שר העלייה,2,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
32,שפירא חיים משה,שר הפנים,2,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,חזית דתית מאוחדת
33,יוסף דב,שר התחבורה,2,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
34,מימון יהודה לייב,השר לנפגעי מלחמה,2,"['- למד בישיבות בליטא.  - בשנים 1900–1905, לאחר שקיבל סמיכות לרב, שימש כ”מגיד” במארקולשטי.  - בשנים 1905–1913 היה רב באונגני (בסרביה).']",,,חזית דתית מאוחדת
35,קפלן אליעזר,השר לקליטת עלייה,2,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
36,אפרתי יוסף,סגן שר החקלאות,2,['למד ב”חדר” ובבית-הספר התיכון החקלאי בפתח-תקווה.'],,,מפא”י
37,שרי ראובן,סגן שר התחבורה,2,['- קיבל חינוך מסורתי עברי.  - למד בגימנסיה בקישינב.  - למד משפטים באוניברסיטת יאסי.  - הוסמך לעריכת דין.'],,,מפא”י
38,בן-גוריון דוד,ראש הממשלה,3,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
39,קפלן אליעזר,סגן ראש הממשלה,3,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
40,קפלן אליעזר,שר האוצר,3,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
41,בן-גוריון דוד,שר הביטחון,3,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
42,בורג יוסף,שר הבריאות,3,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,פועל מזרחי
43,נורוק מרדכי,שר הדואר,3,"['- למד לימודים תורניים אצל אביו.  - הוסמך לרבנות.  - למד בגימנסיה במיטאו ובאוניברסיטאות בפטרבורג, בגרמניה ובשווייץ.  - בעל תואר דוקטור לפילוסופיה.']",,,מזרחי
44,שפירא חיים משה,שר הדתות,3,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
45,שרת משה,שר החוץ,3,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
46,דינור בן-ציון,שר החינוך והתרבות,3,"['- למד בישיבות טלז, קובנה ווילנה (ליטא).  - למד באוניברסיטת ברן ובמכון הגבוה ללימודי היהדות בברלין.  - בשנת 1902 קיבל הסמכה לרב.  - בשנת 1917 קיבל תואר מוסמך בהיסטוריה מהמחלקה ההיסטורית-פילולוגית של אוניברסיטת פטרוגרד.  - פרופסור להיסטוריה.']",['מורה ומרצה אקדמי'],,
47,נפתלי פרץ,שר החקלאות,3,['- למד בגימנסיה הריאלית בברלין.  - למד שלוש שנים בבית מסחר ליצוא ויבוא.  - למד בבית-הספר הגבוה למסחר zia.'],['עיתונאי'],,מפא”י
48,יוסף דב,שר המסחר והתעשיה,3,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
49,שטרית בכור שלום,שר המשטרה,3,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,מפא”י
50,יוסף דב,שר המשפטים,3,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
51,לוין יצחק מאיר,שר הסעד,3,['- למד בישיבות.  - הוסמך לרבנות.'],,,אגודת ישראל
52,מאיר גולדה,שרת העבודה,3,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
53,אשכול לוי,שר הפיתוח,3,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
54,שפירא חיים משה,שר הפנים,3,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
55,פנקס דוד צבי,שר התחבורה,3,['- למד בגימנסיה בווינה.  - למד בישיבת פרסבורג.  - למד משפטים באוניברסיטת וינה.'],,,מזרחי
56,קפלן אליעזר,שר במשרד ראש הממשלה,3,['- לימודים ב”חדר”  - לימודים בגימנסיה רוסית  - בשנת 1917 – סיום לימודי הנדסת בניין בבית-הספר הגבוה לטכנולוגיה במוסקבה'],,,מפא”י
57,כהנא קלמן,סגן שר החינוך והתרבות,3,"['- קיבל חינוך מסורתי.  - למד בגימנסיה היהודית בברודי.  - בוגר בית-המדרש לרבנים מיסודו של הרב עזריאל הילדסהיימר בברלין.  - למד באוניברסיטאות ברלין ווירצבורג (פילוסופיה, שפות שמיות, היסטוריה ופדגוגיה).  - בעל תואר דוקטור לפילוסופיה.']",,,פועלי אגודת ישראל
58,אפרתי יוסף,סגן שר החקלאות,3,['למד ב”חדר” ובבית-הספר התיכון החקלאי בפתח-תקווה.'],,,מפא”י
59,בן-גוריון דוד,ראש הממשלה,4,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
60,אשכול לוי,שר האוצר,4,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
61,בן-גוריון דוד,שר הביטחון,4,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
62,סרלין יוסף,שר הבריאות,4,['- למד בגימנסיה העברית בביאליסטוק.  - למד משפטים באוניברסיטת וארשה.  בשנת 1929 הוסמך לעורך דין.'],,,ציונים כלליים
63,בורג יוסף,שר הדואר,4,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,פועל מזרחי
64,שפירא חיים משה,שר הדתות,4,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
65,שרת משה,שר החוץ,4,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
66,דינור בן-ציון,שר החינוך והתרבות,4,"['- למד בישיבות טלז, קובנה ווילנה (ליטא).  - למד באוניברסיטת ברן ובמכון הגבוה ללימודי היהדות בברלין.  - בשנת 1902 קיבל הסמכה לרב.  - בשנת 1917 קיבל תואר מוסמך בהיסטוריה מהמחלקה ההיסטורית-פילולוגית של אוניברסיטת פטרוגרד.  - פרופסור להיסטוריה.']",['מורה ומרצה אקדמי'],,
67,נפתלי פרץ,שר החקלאות,4,['- למד בגימנסיה הריאלית בברלין.  - למד שלוש שנים בבית מסחר ליצוא ויבוא.  - למד בבית-הספר הגבוה למסחר zia.'],['עיתונאי'],,מפא”י
68,ברנשטיין פרץ,שר המסחר והתעשיה,4,['למד בגימנסיה במיינינגן ובבית-הספר למסחר באייזנאך.'],,,ציונים כלליים
69,שטרית בכור שלום,שר המשטרה,4,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,מפא”י
70,רוזן פנחס,שר המשפטים,4,"['- למד משפטים באוניברסיטאות פרייבורג וברלין. - הוסמך לעורך דין ( 1908).  - בעל תואר ד""ר למשפטים (1910)']",,,מפלגה פרוגרסיבית
71,שפירא חיים משה,שר הסעד,4,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
72,מאיר גולדה,שרת העבודה,4,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
73,יוסף דב,שר הפיתוח,4,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
74,רוקח ישראל,שר הפנים,4,"['- ""חדר""  - בית ספר אליאנס ביפו  - בית ספר תיכון בלוזאן  - הנדסת חשמל בפוליטכניון בציריך']",,,ציונים כלליים
75,סרלין יוסף,שר התחבורה,4,['- למד בגימנסיה העברית בביאליסטוק.  - למד משפטים באוניברסיטת וארשה.  בשנת 1929 הוסמך לעורך דין.'],,,ציונים כלליים
76,לבון פנחס,שר במשרד ראש הממשלה,4,['- לימודים ב”חדר”  - לימודים בגימנסיה פולנית בטרנופול  - לימודי משפטים באוניברסיטת לבוב'],,,מפא”י
77,ורהפטיג זרח,סגן שר הדתות,4,['- למד משפטים באוניברסיטת ורשה.  - בעל תואר דוקטור למשפטים מהאוניברסיטה העברית.'],['מרצה למשפט עברי'],,פועל מזרחי
78,אפרתי יוסף,סגן שר החקלאות,4,['למד ב”חדר” ובבית-הספר התיכון החקלאי בפתח-תקווה.'],,,מפא”י
79,סוזאיב זלמן,סגן שר המסחר והתעשיה,4,['למד באוניברסיטת ריגה.'],,,ציונים כלליים
80,בן-מאיר שלמה ישראל,סגן שר הסעד,4,['- ישיבת ”ר` יצחק אלחנן” ו”ישיבה יוניברסיטי”  - אוניברסיטת ניו-יורק  - מוסמך לרבנות ובעל תואר דוקטור למשפטים'],,,מזרחי
81,שרת משה,ראש הממשלה,5,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
82,אשכול לוי,שר האוצר,5,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
83,לבון פנחס,שר הביטחון,5,['- לימודים ב”חדר”  - לימודים בגימנסיה פולנית בטרנופול  - לימודי משפטים באוניברסיטת לבוב'],,,מפא”י
84,סרלין יוסף,שר הבריאות,5,['- למד בגימנסיה העברית בביאליסטוק.  - למד משפטים באוניברסיטת וארשה.  בשנת 1929 הוסמך לעורך דין.'],,,ציונים כלליים
85,בורג יוסף,שר הדואר,5,['- הוסמך לרבנות בבית-המדרש לרבנים ע”ש הילדסהיימר בברלין.  - למד באוניברסיטת לייפציג ובאוניברסיטת ברלין. בעל תואר דוקטור לפילוסופיה.'],,,פועל מזרחי
86,שפירא חיים משה,שר הדתות,5,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
87,שרת משה,שר החוץ,5,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
88,דינור בן-ציון,שר החינוך והתרבות,5,"['- למד בישיבות טלז, קובנה ווילנה (ליטא).  - למד באוניברסיטת ברן ובמכון הגבוה ללימודי היהדות בברלין.  - בשנת 1902 קיבל הסמכה לרב.  - בשנת 1917 קיבל תואר מוסמך בהיסטוריה מהמחלקה ההיסטורית-פילולוגית של אוניברסיטת פטרוגרד.  - פרופסור להיסטוריה.']",['מורה ומרצה אקדמי'],,
89,נפתלי פרץ,שר החקלאות,5,['- למד בגימנסיה הריאלית בברלין.  - למד שלוש שנים בבית מסחר ליצוא ויבוא.  - למד בבית-הספר הגבוה למסחר zia.'],['עיתונאי'],,מפא”י
90,ברנשטיין פרץ,שר המסחר והתעשיה,5,['למד בגימנסיה במיינינגן ובבית-הספר למסחר באייזנאך.'],,,ציונים כלליים
91,שטרית בכור שלום,שר המשטרה,5,"['למד בחדר, בבית-הספר של כי”ח (אליאנס) ובישיבת טבריה; בבית הספר למשפטים בירושלים. הוסמך כעורך-דין.']",,,מפא”י
92,רוזן פנחס,שר המשפטים,5,"['- למד משפטים באוניברסיטאות פרייבורג וברלין. - הוסמך לעורך דין ( 1908).  - בעל תואר ד""ר למשפטים (1910)']",,,מפלגה פרוגרסיבית
93,שפירא חיים משה,שר הסעד,5,['- למד בחדר ובישיבה אצל הרב שמעון שקופ.  - בשנים 1924–1925 למד בבית המדרש לרבנים מיסודו של הרב הילדסהיימר בברלין.'],,,פועל מזרחי
94,מאיר גולדה,שרת העבודה,5,['בוגרת בית-המדרש למורות במילווקי ובעלת תעודת הוראה'],,,מפא”י
95,יוסף דב,שר הפיתוח,5,['- לימודים בבית-ספר תיכון במונטריאול  - לימודי כלכלה ומדעי הרוח באוניברסיטת מקגיל במונטריאול  - לימודי משפטים באוניברסיטת לאוואל בקוויבק  - דוקטור לפילוסופיה ומוסמך במשפטים מטעם אוניברסיטת לונדון'],['עורך דין'],"במלחמת העולם הראשונה היה פעיל בארגון ההתנדבות לגדוד העברי בקנדה, ובשנת 1918 הגיע לארץ ישראל כסרג`נט בגדוד.",מפא”י
96,רוקח ישראל,שר הפנים,5,"['- ""חדר""  - בית ספר אליאנס ביפו  - בית ספר תיכון בלוזאן  - הנדסת חשמל בפוליטכניון בציריך']",,,ציונים כלליים
97,ספיר יוסף,שר התחבורה,5,['- בית-הספר ”עזרא” ביפו  - בית-ספר עממי בתל אביב  - בית-מדרש למורים בירושלים'],,,ציונים כלליים
98,ארן זלמן,שר במשרד ראש הממשלה,5,"['- לימודים ב”חדר” ובישיבות ביקטרינוסלב, בקרמנצ`וק וביליסבטגרד  - לימודי ערב בגימנסיה ביוזובקה  - לימודים במכון למדעים עיוניים ובמכון לחקלאות בחרקוב']",,,מפא”י
99,ורהפטיג זרח,סגן שר הדתות,5,['- למד משפטים באוניברסיטת ורשה.  - בעל תואר דוקטור למשפטים מהאוניברסיטה העברית.'],['מרצה למשפט עברי'],,פועל מזרחי
100,אפרתי יוסף,סגן שר החקלאות,5,['למד ב”חדר” ובבית-הספר התיכון החקלאי בפתח-תקווה.'],,,מפא”י
101,סוזאיב זלמן,סגן שר המסחר והתעשיה,5,['למד באוניברסיטת ריגה.'],,,ציונים כלליים
102,בן-מאיר שלמה ישראל,סגן שר הסעד,5,['- ישיבת ”ר` יצחק אלחנן” ו”ישיבה יוניברסיטי”  - אוניברסיטת ניו-יורק  - מוסמך לרבנות ובעל תואר דוקטור למשפטים'],,,מזרחי
103,שרת משה,ראש הממשלה,6,"['- למד ב""חדר"" מתוקן.  - בשנים 1908–1913 למד בגימנסיה רוסית בחרסון ובגימנסיה ”הרצלייה”.  - בשנים 1913–1914 למד משפטים באוניברסיטת קושטא.  - בשנים 1920–1925 למד משפטים בבית הספר לכלכלה של לונדון.']",,"- בשנת 1915 התגייס לצבא הטורקי והתקדם בו לדרגת סגן משנה.
- שירת במקדוניה ובחלב.",מפא”י
104,אשכול לוי,שר האוצר,6,['- למד ב”חדר”.  - למד שנתיים בגימנסיה עברית בווילנה.'],,"- בשנים 1918–1920 שירת בגדודים העבריים.
- בשנת 1934 היה מיוזמי ה”העברה” – פעילות להעברת יהודים ורכוש מתוך שטחי גרמניה הנאצית.
- בשנים 1940–1948 שימש חבר במפקדה הארצית של ההגנה.
",מפא”י
105,בן-גוריון דוד,שר הביטחון,6,['- למד ב”חדר”  - 1911 – לימודי משפטים באוניברסיטה בקושטא'],,"חודשים אחדים לאחר הצהרת בלפור התנדב לגדוד העברי, ואולם כשהגיעה יחידתו ארצה כבר הסתיים כיבושה בידי הבריטים.",מפא”י
